ProductID,Count,Score
 B0001MIRDE,4,2/2
 B001P7JVJS,6,16/20
 B00005NKBK,4,129/141
 B000299URS,4,16/16
 B00284EMIM,7,24/33
 B00004CKDV,65,247/385
 B000SQJ28C,38,121/147
 B0038QJ74S,1, 0/0
 B0007OP1AS,1, 12/12
 6303561284,2,8/9
 0966012224,1, 3/5
 B0013BXW6E,3,5/8
 B00005UKKE,62,226/358
 B0002V7TJW,8,6/8
 B0001WTUZI,13,38/61
 B00005V9IJ,334,799/1515
 B001MWUWS0,9,46/56
 6304675771,203,454/968
 6304173083,3,11/16
 B001ELC6FG,72,167/304
 B0002EJ87U,1, 0/1
 B0007N1JYG,5,4/4
 B007SDTKD0,1, 0/0
 B004S8UU4G,1, 0/0
 B00097E6NQ,18,180/220
 B0017IVHOW,2,1/1
 B0007M21Y4,2,3/3
 6303628389,1, 0/0
 B008CPAX16,6,15/45
 B0040OY9ZE,2,11/13
 B000OYTPJO,112,467/683
 B0034ZDUK0,1, 1/3
 1931046972,1, 1/1
 B006NO1SV2,4,45/46
 B002SI7UCI,4,5/11
 6302599687,1, 5/5
 B001E6JCBC,49,87/111
 B002BVUBO6,11,25/55
 B000ZKB072,1, 0/1
 B00005MFO9,61,120/199
 B00005U8E9,1, 0/0
 B00319HT9W,85,360/512
 B00000IBNW,1, 5/5
 B007H52KA4,3,19/85
 B008NNY8CW,3,1/1
 B006Z21ZEW,36,90/183
 B0009OUC5U,20,73/83
 B00006HAXW,13,201/204
 B00005UF9O,45,272/594
 B003ZG3GAM,1, 0/0
 B00319HT9C,34,9/16
 B00005UF9K,66,248/337
 B003X3BYJW,3,3/3
 B000VULA9E,109,191/265
 B0030FT96S,1, 1/1
 B00004UF19,86,152/235
 B000T7XFGU,5,37/52
 6303704840,4,13/20
 B00004UF16,59,313/425
 B0042YY542,5,3/13
 B00004UF14,169,116/169
 B00004UF12,37,141/258
 6305538409,7,27/48
 B002B900BM,2,9/10
 B009M8EA3Y,1, 0/1
 B00018D3XW,87,388/501
 B000VQYDHY,4,11/15
 B004SCMGSU,42,89/127
 B0016PT95A,2,0/0
 B00077BOSS,1, 1/1
 6304179499,53,116/143
 B0000DK4QE,93,202/378
 6301813855,25,97/110
 B000V2I234,3,9/24
 B00015HX9K,16,116/130
 B0031Z5RWW,2,1/3
 B0028O34N6,2,2/2
 B003DQOS8S,1, 0/0
 B0000DK4QK,217,500/830
 630156443X,4,15/17
 B009CWWCYO,1, 0/0
 B000V4FTM4,4,8/9
 B0002EXFNI,157,475/896
 B0031Z5RWC,1, 1/1
 B0024NSG2U,2,81/90
 B000Y59D72,1, 0/3
 B003Y5GMNC,25,75/100
 6304277490,2,6/6
 B0042800WE,64,186/228
 6304888465,8,92/144
 B002FLZKAM,24,89/122
 0967877709,2,0/0
 B000Y11BGC,1, 0/0
 B002AJLMNS,2,2/3
 B00006G8IV,8,8/11
 B00192QNXQ,9,107/142
 630403945X,3,18/23
 6305233438,9,22/23
 B00015HX9A,125,1073/1283
 B00005U14O,5,69/72
 630187837X,1, 2/2
 B00004CJ1R,19,65/98
 B000R9GMGK,2,1/1
 B0011FDVK4,6,135/164
 B00004CTUN,20,103/128
 B002PBP8HW,48,290/376
 B000WI23KA,6,10/14
 B0009P42T6,2,0/0
 1573470937,1, 12/12
 B000NOIVTA,3,2/3
 B003IYZ46A,1, 3/3
 B00006G8IZ,4,7/8
 B000P6R55W,2,2/4
 B0001ME59O,1, 16/17
 B000EOU4N0,4,1/1
 B000NOIVTK,15,64/93
 B000OIOXQK,1, 29/30
 B0077T5SS6,6,7/7
 B000067J24,40,142/200
 B000067J25,7,16/28
 0793903335,4,13/17
 6302510163,1, 6/6
 B006YSHAU0,1, 0/0
 6302181585,3,19/21
 B00652U6LU,1, 0/0
 B0041KKZH8,37,181/230
 B001U5S2WM,24,69/83
 6301931629,45,211/227
 B000NVI2JM,6,3/3
 B0060ZNFVK,2,16/17
 B00151QYU8,315,714/2026
 B000HT3PV0,1, 0/0
 B001NA60A0,102,442/711
 B000YYVLSW,3,7/12
 B00284EM3M,1, 4/4
 6300208397,2,17/17
 B007ATHNHC,2,4/4
 B000B9E2MC,4,15/17
 6304031831,30,283/298
 B000SRSWXC,8,13/15
 B000056N8R,1, 21/21
 6301885597,1, 0/0
 B00284EM3C,40,90/127
 B003K4Y7NO,6,14/28
 B004BF0DMU,1, 0/0
 B00004CTUA,108,657/727
 B0094MOQ0K,14,28/59
 B00027JYT4,5,22/25
 6305581959,3,3/6
 B000056N8T,18,150/164
 6303467245,3,0/0
 6302739896,2,5/5
 B000AXWH7Q,11,25/30
 B0013UQUSW,1, 3/3
 B0001XARPO,3,18/36
 B004G6ZPX6,4,6/9
 B003LSZFUI,23,78/113
 B0092MDYV4,8,15/32
 B001TK29GS,1, 2/2
 B00178U3CY,20,149/171
 B0002910TY,1, 1/1
 B007HJ9QMA,29,62/100
 B000056N8W,12,83/87
 0940871491,1, 0/0
 B001T89LXY,20,127/147
 B0000DK4QJ,367,1274/1940
 B004M8SRHY,13,6/11
 B000067J2G,1, 1/1
 B00005QVUT,2,13/13
 B0010XOVSI,17,117/142
 B00008YLV1,13,47/60
 B000067J2N,6,22/22
 B00000ACXE,30,36/53
 B00000I9PH,3,4/7
 B000067J2J,11,80/97
 B000067J2K,6,16/17
 B000067J2H,1, 0/0
 B000067J2I,5,13/14
 B000067J2V,3,22/25
 B000NOIVT0,112,447/669
 B004J0DQS0,4,10/10
 B00005YTR5,1, 0/1
 6305754276,1, 3/3
 B0002B54P8,1, 8/8
 6305454280,7,6/28
 B00005YTR8,13,47/56
 B000NDFLWG,17,52/69
 B000IZJR3I,6,11/14
 B000067J2X,7,24/38
 B000067J2Y,7,18/25
 B003GC47YY,1, 0/0
 B000JJRY7O,3,12/13
 1578072123,3,6/9
 6303031498,1, 2/2
 B007XF0X4I,45,129/216
 B00112S8RS,151,622/954
 B0001G6PZC,545,2216/3576
 B000TGUUG4,9,9/12
 B00005Y961,1, 0/0
 6300157423,2,5/5
 B00004RXMK,29,240/319
 B003O5MN1C,28,87/92
 B00004WCM9,93,511/611
 B0002VKZYS,8,47/66
 B0007Z9RCU,13,41/67
 B004EFBRMC,29,58/103
 B0007YXPCY,1, 3/3
 B000ID1Q02,33,72/84
 6301661869,2,11/12
 6304580878,12,10/28
 B006GHA9QQ,164,1185/1757
 B00005LKLF,20,38/103
 B000083ED1,39,74/91
 B00005QC3X,6,74/82
 6300276554,19,494/532
 B00001IVE7,1, 7/10
 B003JFEIJC,25,50/80
 B004MFBJ04,1, 2/2
 B000CZ0PVM,1, 0/0
 B00020HBNW,1, 0/0
 B001PPLJN6,4,35/41
 B000BB1MEQ,4,20/24
 B00932ADHQ,11,8/11
 6303593593,29,200/239
 B0048FQFLG,7,19/32
 B00020HBNC,3,11/14
 B00008HC97,9,57/75
 B00005M1Y0,173,395/599
 B000056N8G,2,0/0
 B0041QSZG0,1, 2/3
 0849986737,1, 3/4
 B000050X30,8,39/51
 B00012FXJ0,47,182/223
 B003ODKZXW,8,7/10
 B00000JGOY,7,20/24
 B00020HBN2,2,1/1
 B00005AB92,1, 1/1
 B000EF817U,3,13/14
 B0035YKW0Q,8,17/53
 B00005KA8M,9,37/38
 B008JAG4GW,17,47/65
 B000083EDB,192,616/1137
 6305306141,16,32/41
 B001PPLJNQ,2,7/7
 B00028G74S,1, 12/13
 B00000JGOJ,68,250/301
 B000083EDI,24,63/65
 B00000JGOG,21,73/89
 B000SM6FBI,2,15/16
 B00005RT3E,25,12/15
 6300133648,3,34/40
 1888617047,3,33/35
 B001PTA34I,11,14/17
 B000056N8P,1, 21/21
 6305908028,10,85/89
 B00004WCMK,2,2/2
 B0009Y2LTU,2,1/2
 B003SHYJJ0,81,163/292
 B0076XTH8K,11,9/20
 0310582792,1, 2/2
 B00004WCMB,68,380/549
 B005WVUM1E,7,14/16
 B001C0NMWK,1, 0/1
 B000H5V8D6,164,615/939
 B000056N8Q,5,2/9
 B000X9JZVI,2,0/0
 B00004WCMU,57,84/161
 0767002652,24,276/303
 6305104352,4,1/1
 B00004WCMS,86,144/233
 B000AYEL9M,5,7/18
 B000T2MZ3E,1, 0/0
 B006QUF0QW,43,151/212
 B0007OCG4W,438,2065/4210
 B000Y9Z610,1, 0/0
 B0000DG6XP,1, 0/0
 B000I9WVZA,47,68/148
 B000FDEV02,10,15/53
 B000009ELJ,10,25/39
 B003ZXDOW0,3,7/10
 B0006U5UPO,45,177/213
 B00005M1Y5,86,114/186
 B000VZAV62,12,83/90
 B003GAB2LW,1, 0/0
 1585651788,2,25/27
 B0001LQJW6,2,6/7
 B000I9WVZU,76,123/211
 B0007VY4O0,1, 5/5
 6302958741,1, 1/3
 B002KLQ2XG,10,45/52
 B001AS0NU8,1, 1/1
 B00281DXKS,1, 1/1
 B000NO2FLU,5,10/11
 6303257933,150,139/370
 B00006JU7U,78,267/396
 B000BNXD28,33,60/80
 6304288875,1, 9/10
 B0000DK4QB,18,77/107
 B004XWGZAU,7,33/44
 B005VMWOW4,2,0/0
 6304091338,31,185/213
 B0000DK4QD,39,98/203
 6304286961,147,315/624
 0767845234,10,24/31
 B0000DK4QI,313,1752/2345
 B001DBQAZY,15,31/31
 B0002BO0V2,4,12/12
 B00005952Q,51,119/127
 B0000DK4QL,230,396/717
 6304493983,2,4/7
 B00004T6FK,12,13/13
 B000BNXD2S,1, 1/1
 630294662X,6,9/10
 B00000F4KD,65,215/288
 B00005V9IG,30,158/269
 073600193X,3,6/7
 B000RA2R18,1, 18/22
 6303928455,2,1/6
 B001I7HLTW,10,9/15
 B00015HX90,427,1394/2580
 B00005U14H,129,671/969
 B000056N8V,10,190/198
 B001JPC4N6,32,182/211
 B0007NMJZ4,2,12/14
 B000053VQH,3,29/37
 B000MTFFM2,4,17/20
 B000AJREL4,3,8/8
 B005GLHO48,13,60/98
 B003RLEWOY,1, 1/3
 B00019G4GO,2,6/6
 B0044WQIM4,11,81/129
 B000056N8C,13,29/39
 B000056N8D,2,7/15
 1891664026,1, 4/10
 B0017HEY8Y,1, 1/1
 B00007JZYP,13,20/29
 B009K37SUS,2,3/3
 6302405939,64,339/679
 B009B6XA1U,26,111/116
 B0000BYRO7,42,195/278
 B0001Z3HIG,14,68/111
 B007I39G3O,5,6/7
 6304107242,25,74/108
 B000PY52CW,22,101/146
 B004BH1TN0,9,40/41
 B0009UZGHS,6,78/87
 B00005U14B,4,20/20
 B000AABKYK,1, 0/1
 B002KBG4TS,1, 0/0
 B007C7V4BS,1, 0/0
 5555292082,36,93/154
 B000053VQI,4,18/19
 B000053VQJ,2,1/2
 B0001Y4LSM,12,35/49
 B00005LL26,350,548/1050
